
LocalAddress                 LocalPort OwningProcess
------------                 --------- -------------
0.0.0.0                            135          1800
::                                 135          1800
172.24.112.1                       139             4
192.168.68.50                      139             4
172.17.112.1                       139             4
::                                 445             4
0.0.0.0                           2179          2804
::                                2179          2804
0.0.0.0                           2968         13436
::                                3001          3568
::1                               3001         28016
::                                3010          3568
::1                               3010         28016
::                                3011          3568
::1                               3011         28016
::                                4000          3568
::1                               4000         28016
0.0.0.0                           5040         10144
::1                               5173         28016
::                                5173          3568
::1                               5174         28016
::                                5174          3568
::1                               5432         28016
::                                5432          3568
fe80::bd73:c881:84ff:48f4%10      6881          2088
fe80::9a93:a34d:b1a3:f433%56      6881          2088
0.0.0.0                           6881          2088
fe80::61a2:467a:82b9:22fe%39      6881          2088
::                                7680          3708
::                                8000          3568
::1                               8000         28016
::                                8080          3568
::1                               8080         28016
::1                               8787         28016
::                                8787          3568
::                               15432          3568
::1                              15432         28016
0.0.0.0                          19575          2088
0.0.0.0                          19576          2088
0.0.0.0                          19577          2088
127.0.0.1                        20241          7224
127.0.0.1                        28385             4
127.0.0.1                        28390             4
::1                              34616          4848
127.0.0.1                        34616          4848
::1                              35783         16716
::1                              42050         33624
127.0.0.1                        49350         34488
127.0.0.1                        49351         14324
::                               49664          1540
0.0.0.0                          49664          1540
::                               49665          1368
0.0.0.0                          49665          1368
::                               49666          3040
0.0.0.0                          49666          3040
0.0.0.0                          49667          3364
::                               49667          3364
0.0.0.0                          49668          4272
::                               49668          4272
::1                              49669          4748
::                               49678          4856
0.0.0.0                          49679          1488
::                               49679          1488
127.0.0.1                        50908         19184
127.0.0.1                        54566         19328
127.0.0.1                        56969         35184
127.0.0.1                        60683         19184


